Date,Status,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UN,UP,UT,Total,WB
06 Jul,Deceased,0,7,1,0,7,0,0,0,48,0,0,17,0,11,1,6,30,2,0,0,204,0,0,9,0,0,2,5,0,5,0,11,61,0,0,24,0,473,22
07 Jul,Confirmed,6,1178,6,814,385,5,110,0,2008,27,90,778,6,495,164,256,1498,272,36,0,5134,6,40,343,1,19,571,258,32,716,2,1879,3616,24,121,1332,69,23147,850
07 Jul,Recovered,0,825,13,388,324,0,84,0,2129,10,95,421,27,310,36,81,571,111,24,0,3296,0,37,189,6,60,217,60,37,297,0,1506,4545,29,0,518,35,16836,555
07 Jul,Deceased,0,13,0,2,1,1,0,0,50,1,1,17,0,3,2,5,15,0,0,0,224,0,0,5,0,0,6,6,0,11,0,7,65,0,0,18,1,479,25
08 Jul,Confirmed,2,1062,11,696,749,15,111,0,2033,15,136,783,18,691,116,330,2062,301,6,0,6603,6,5,409,5,13,527,158,110,659,6,1924,3756,57,-16,1188,28,25561,986
08 Jul,Recovered,0,1356,4,397,203,1,107,0,3982,11,51,569,43,461,66,168,778,107,28,0,4634,2,22,219,4,1,303,274,67,291,6,992,3051,76,0,704,29,19508,501
08 Jul,Deceased,0,12,0,6,2,0,0,0,48,0,0,16,0,3,0,6,54,0,0,0,198,1,0,7,0,0,7,3,0,10,0,11,64,0,0,18,3,492,23
09 Jul,Confirmed,7,1555,15,568,704,16,140,0,2187,14,112,861,39,674,134,240,2228,339,8,0,6875,13,15,305,0,16,577,233,49,500,1,1410,4231,16,-633,1206,47,25790,1088
09 Jul,Recovered,9,1053,11,421,251,1,68,0,4027,10,66,429,13,399,40,128,957,149,27,0,4067,0,6,245,0,0,401,117,35,204,0,913,3994,14,0,796,22,19408,535
09 Jul,Deceased,0,13,0,5,9,0,1,0,45,0,1,15,0,5,1,5,17,0,0,0,219,0,0,5,0,0,6,5,2,9,0,7,65,0,0,17,0,479,27
10 Jul,Confirmed,0,1608,33,936,352,13,166,0,2089,14,100,875,31,570,250,387,2313,416,9,0,7862,73,132,316,23,59,755,217,72,611,0,1278,3680,142,-224,1338,68,27762,1198
10 Jul,Recovered,9,1040,0,701,459,5,125,0,2468,19,74,441,39,399,14,91,1003,112,2,0,5366,0,33,249,0,0,565,72,18,550,9,1013,4163,34,0,660,34,20289,522
10 Jul,Deceased,0,15,0,8,2,0,2,0,42,0,0,14,0,3,0,5,57,0,0,0,226,0,0,4,0,0,6,4,1,6,0,8,64,0,0,27,0,520,26
11 Jul,Confirmed,0,1813,6,535,709,13,65,0,1781,14,117,872,11,648,145,268,2798,488,13,0,8139,76,11,544,1,16,570,230,65,574,26,1178,3965,31,-745,1392,44,27757,1344
11 Jul,Recovered,0,1199,5,578,740,5,42,0,2998,12,81,502,23,490,32,109,880,143,11,0,4360,0,11,198,7,9,388,23,53,249,0,1714,3591,3,0,902,12,19981,611
11 Jul,Deceased,0,17,0,2,7,1,0,0,34,0,3,10,0,7,1,10,70,2,0,0,223,0,0,6,0,0,6,8,1,6,0,9,69,1,0,24,0,543,26
12 Jul,Confirmed,7,1933,19,735,1266,10,184,0,1573,16,85,879,31,658,97,357,2627,435,9,0,7827,33,16,431,4,26,595,234,81,644,4,1269,4244,105,-392,1384,120,29106,1560
12 Jul,Recovered,8,1019,13,468,962,4,83,0,2276,31,59,513,21,589,52,84,693,132,0,0,3340,0,53,197,0,14,390,352,49,234,1,1563,3617,46,0,645,68,18198,622
12 Jul,Deceased,0,19,0,4,7,0,2,0,37,0,2,13,0,4,7,10,71,2,0,0,173,0,0,9,0,0,5,4,0,7,0,8,68,0,0,21,1,500,26
13 Jul,Confirmed,3,1935,27,1001,1116,29,184,0,1246,25,130,902,30,689,203,314,2738,449,7,0,6497,21,17,575,2,71,616,357,50,544,2,1550,4328,26,-666,1654,71,28178,1435
13 Jul,Recovered,9,1052,7,522,411,6,49,0,1344,42,53,608,11,654,43,116,838,162,18,0,4182,1,74,332,1,13,505,194,46,527,6,1197,3035,54,0,869,70,17683,632
13 Jul,Deceased,0,37,1,4,9,0,0,0,40,0,3,10,0,7,2,8,73,2,0,0,193,0,0,10,0,0,7,5,0,8,0,9,66,0,0,21,2,541,24
